Cell	Drug	Drug_Name
SIDM01288	50922675	Encorafenib
SIDM01293	50922675	Encorafenib
SIDM01297	50922675	Encorafenib
SIDM01299	50922675	Encorafenib
SIDM01304	50922675	Encorafenib
SIDM01305	50922675	Encorafenib
SIDM01306	50922675	Encorafenib
SIDM01307	50922675	Encorafenib
SIDM01309	50922675	Encorafenib
SIDM01313	50922675	Encorafenib
SIDM01314	50922675	Encorafenib
SIDM01491	50922675	Encorafenib
SIDM01564	50922675	Encorafenib
SIDM01613	50922675	Encorafenib
SIDM01705	50922675	Encorafenib
SIDM01942	50922675	Encorafenib
SIDM01943	50922675	Encorafenib
SIDM01950	50922675	Encorafenib
SIDM01951	50922675	Encorafenib
SIDM01954	50922675	Encorafenib
SIDM01955	50922675	Encorafenib
SIDM01956	50922675	Encorafenib
SIDM01959	50922675	Encorafenib
SIDM01960	50922675	Encorafenib
SIDM01962	50922675	Encorafenib
SIDM01963	50922675	Encorafenib
SIDM01966	50922675	Encorafenib
SIDM02015	50922675	Encorafenib
SIDM02016	50922675	Encorafenib
SIDM02017	50922675	Encorafenib
SIDM02018	50922675	Encorafenib
SIDM02019	50922675	Encorafenib
SIDM02022	50922675	Encorafenib
SIDM02025	50922675	Encorafenib
SIDM02026	50922675	Encorafenib
SIDM02027	50922675	Encorafenib
SIDM02029	50922675	Encorafenib
SIDM02030	50922675	Encorafenib
SIDM02034	50922675	Encorafenib
SIDM02035	50922675	Encorafenib
SIDM02038	50922675	Encorafenib
SIDM02039	50922675	Encorafenib
SIDM02041	50922675	Encorafenib
SIDM02043	50922675	Encorafenib
SIDM02044	50922675	Encorafenib
SIDM02045	50922675	Encorafenib
SIDM02047	50922675	Encorafenib
SIDM02048	50922675	Encorafenib
SIDM02050	50922675	Encorafenib
SIDM02051	50922675	Encorafenib
SIDM02053	50922675	Encorafenib
SIDM02055	50922675	Encorafenib
SIDM02057	50922675	Encorafenib
SIDM02059	50922675	Encorafenib
SIDM02062	50922675	Encorafenib
SIDM02063	50922675	Encorafenib
SIDM02064	50922675	Encorafenib
SIDM02065	50922675	Encorafenib
SIDM02066	50922675	Encorafenib
SIDM02067	50922675	Encorafenib
SIDM02069	50922675	Encorafenib
SIDM02072	50922675	Encorafenib
SIDM02073	50922675	Encorafenib
SIDM02075	50922675	Encorafenib
SIDM02077	50922675	Encorafenib
SIDM00118	44480399	Fruquintinib
SIDM00150	44480399	Fruquintinib
SIDM00776	44480399	Fruquintinib
SIDM00660	44480399	Fruquintinib
SIDM00677	44480399	Fruquintinib
SIDM00778	44480399	Fruquintinib
SIDM00779	44480399	Fruquintinib
SIDM01090	44480399	Fruquintinib
SIDM00282	44480399	Fruquintinib
SIDM00842	44480399	Fruquintinib
SIDM01233	44480399	Fruquintinib
SIDM01197	44480399	Fruquintinib
SIDM00681	44480399	Fruquintinib
SIDM00527	44480399	Fruquintinib
SIDM00944	44480399	Fruquintinib
SIDM00781	44480399	Fruquintinib
SIDM00783	44480399	Fruquintinib
SIDM00789	44480399	Fruquintinib
SIDM00136	44480399	Fruquintinib
SIDM00826	44480399	Fruquintinib
SIDM00841	44480399	Fruquintinib
SIDM00541	44480399	Fruquintinib
SIDM00534	44480399	Fruquintinib
SIDM00537	44480399	Fruquintinib
SIDM00839	44480399	Fruquintinib
SIDM00359	44480399	Fruquintinib
SIDM00812	44480399	Fruquintinib
SIDM00834	44480399	Fruquintinib
SIDM00837	44480399	Fruquintinib
SIDM01168	44480399	Fruquintinib
SIDM00833	44480399	Fruquintinib
SIDM00832	44480399	Fruquintinib
SIDM00782	44480399	Fruquintinib
SIDM00957	44480399	Fruquintinib
SIDM00488	44480399	Fruquintinib
SIDM00680	44480399	Fruquintinib
SIDM00487	44480399	Fruquintinib
SIDM00835	44480399	Fruquintinib
SIDM00217	44480399	Fruquintinib
SIDM00216	44480399	Fruquintinib
SIDM00214	44480399	Fruquintinib
SIDM00194	44480399	Fruquintinib
SIDM00193	44480399	Fruquintinib
SIDM00498	44480399	Fruquintinib
SIDM00777	44480399	Fruquintinib
SIDM01096	44480399	Fruquintinib
SIDM00049	44480399	Fruquintinib
SIDM00215	44480399	Fruquintinib
SIDM00014	44480399	Fruquintinib
SIDM00036	44480399	Fruquintinib
SIDM00068	44480399	Fruquintinib
SIDM00071	44480399	Fruquintinib
SIDM00171	44480399	Fruquintinib
SIDM00192	44480399	Fruquintinib
SIDM00497	44480399	Fruquintinib
SIDM00500	44480399	Fruquintinib
SIDM00536	44480399	Fruquintinib
SIDM00780	44480399	Fruquintinib
SIDM00823	44480399	Fruquintinib
SIDM00836	44480399	Fruquintinib
SIDM00840	44480399	Fruquintinib
SIDM00945	44480399	Fruquintinib
SIDM00960	44480399	Fruquintinib
SIDM01266	44480399	Fruquintinib
SIDM01267	44480399	Fruquintinib
SIDM01268	44480399	Fruquintinib
SIDM01272	44480399	Fruquintinib
SIDM01273	44480399	Fruquintinib
SIDM01276	44480399	Fruquintinib
SIDM01278	44480399	Fruquintinib
SIDM01279	44480399	Fruquintinib
SIDM01281	44480399	Fruquintinib
SIDM01282	44480399	Fruquintinib
SIDM01284	44480399	Fruquintinib
SIDM01288	44480399	Fruquintinib
SIDM01293	44480399	Fruquintinib
SIDM01297	44480399	Fruquintinib
SIDM01299	44480399	Fruquintinib
SIDM01304	44480399	Fruquintinib
SIDM01305	44480399	Fruquintinib
SIDM01306	44480399	Fruquintinib
SIDM01307	44480399	Fruquintinib
SIDM01309	44480399	Fruquintinib
SIDM01313	44480399	Fruquintinib
SIDM01314	44480399	Fruquintinib
SIDM01491	44480399	Fruquintinib
SIDM01564	44480399	Fruquintinib
SIDM01613	44480399	Fruquintinib
SIDM01705	44480399	Fruquintinib
SIDM01942	44480399	Fruquintinib
SIDM01943	44480399	Fruquintinib
SIDM01950	44480399	Fruquintinib
SIDM01951	44480399	Fruquintinib
SIDM01954	44480399	Fruquintinib
SIDM01955	44480399	Fruquintinib
SIDM01956	44480399	Fruquintinib
SIDM01959	44480399	Fruquintinib
SIDM01960	44480399	Fruquintinib
SIDM01962	44480399	Fruquintinib
SIDM01963	44480399	Fruquintinib
SIDM01966	44480399	Fruquintinib
SIDM02015	44480399	Fruquintinib
SIDM02016	44480399	Fruquintinib
SIDM02017	44480399	Fruquintinib
SIDM02018	44480399	Fruquintinib
SIDM02019	44480399	Fruquintinib
SIDM02022	44480399	Fruquintinib
SIDM02025	44480399	Fruquintinib
SIDM02026	44480399	Fruquintinib
SIDM02027	44480399	Fruquintinib
SIDM02029	44480399	Fruquintinib
SIDM02030	44480399	Fruquintinib
SIDM02034	44480399	Fruquintinib
SIDM02035	44480399	Fruquintinib
SIDM02038	44480399	Fruquintinib
SIDM02039	44480399	Fruquintinib
SIDM02041	44480399	Fruquintinib
SIDM02043	44480399	Fruquintinib
SIDM02044	44480399	Fruquintinib
SIDM02045	44480399	Fruquintinib
SIDM02047	44480399	Fruquintinib
SIDM02048	44480399	Fruquintinib
SIDM02050	44480399	Fruquintinib
SIDM02051	44480399	Fruquintinib
SIDM02053	44480399	Fruquintinib
SIDM02055	44480399	Fruquintinib
SIDM02057	44480399	Fruquintinib
SIDM02059	44480399	Fruquintinib
SIDM02062	44480399	Fruquintinib
SIDM02063	44480399	Fruquintinib
SIDM02064	44480399	Fruquintinib
SIDM02065	44480399	Fruquintinib
SIDM02066	44480399	Fruquintinib
SIDM02067	44480399	Fruquintinib
SIDM02069	44480399	Fruquintinib
SIDM02072	44480399	Fruquintinib
SIDM02073	44480399	Fruquintinib
SIDM02075	44480399	Fruquintinib
SIDM02077	44480399	Fruquintinib
SIDM00118	11167602	Regorafenib
SIDM00150	11167602	Regorafenib
SIDM00776	11167602	Regorafenib
SIDM00660	11167602	Regorafenib
SIDM00677	11167602	Regorafenib
SIDM00778	11167602	Regorafenib
SIDM00779	11167602	Regorafenib
SIDM01090	11167602	Regorafenib
SIDM00282	11167602	Regorafenib
SIDM00842	11167602	Regorafenib
SIDM01233	11167602	Regorafenib
SIDM01197	11167602	Regorafenib
SIDM00681	11167602	Regorafenib
SIDM00527	11167602	Regorafenib
SIDM00944	11167602	Regorafenib
SIDM00781	11167602	Regorafenib
SIDM00783	11167602	Regorafenib
SIDM00789	11167602	Regorafenib
SIDM00136	11167602	Regorafenib
SIDM00826	11167602	Regorafenib
SIDM00841	11167602	Regorafenib
SIDM00541	11167602	Regorafenib
SIDM00534	11167602	Regorafenib
SIDM00537	11167602	Regorafenib
SIDM00839	11167602	Regorafenib
SIDM00359	11167602	Regorafenib
SIDM00812	11167602	Regorafenib
SIDM00834	11167602	Regorafenib
SIDM00837	11167602	Regorafenib
SIDM01168	11167602	Regorafenib
SIDM00833	11167602	Regorafenib
SIDM00832	11167602	Regorafenib
SIDM00782	11167602	Regorafenib
SIDM00957	11167602	Regorafenib
SIDM00488	11167602	Regorafenib
SIDM00680	11167602	Regorafenib
SIDM00487	11167602	Regorafenib
SIDM00835	11167602	Regorafenib
SIDM00217	11167602	Regorafenib
SIDM00216	11167602	Regorafenib
SIDM00214	11167602	Regorafenib
SIDM00194	11167602	Regorafenib
SIDM00193	11167602	Regorafenib
SIDM00498	11167602	Regorafenib
SIDM00777	11167602	Regorafenib
SIDM01096	11167602	Regorafenib
SIDM00049	11167602	Regorafenib
SIDM00215	11167602	Regorafenib
SIDM00014	11167602	Regorafenib
SIDM00036	11167602	Regorafenib
SIDM00068	11167602	Regorafenib
SIDM00071	11167602	Regorafenib
SIDM00171	11167602	Regorafenib
SIDM00192	11167602	Regorafenib
SIDM00497	11167602	Regorafenib
SIDM00500	11167602	Regorafenib
SIDM00536	11167602	Regorafenib
SIDM00780	11167602	Regorafenib
SIDM00823	11167602	Regorafenib
SIDM00836	11167602	Regorafenib
SIDM00840	11167602	Regorafenib
SIDM00945	11167602	Regorafenib
SIDM00960	11167602	Regorafenib
SIDM01266	11167602	Regorafenib
SIDM01267	11167602	Regorafenib
SIDM01268	11167602	Regorafenib
SIDM01272	11167602	Regorafenib
SIDM01273	11167602	Regorafenib
SIDM01276	11167602	Regorafenib
SIDM01278	11167602	Regorafenib
SIDM01279	11167602	Regorafenib
SIDM01281	11167602	Regorafenib
SIDM01282	11167602	Regorafenib
SIDM01284	11167602	Regorafenib
SIDM01288	11167602	Regorafenib
SIDM01293	11167602	Regorafenib
SIDM01297	11167602	Regorafenib
SIDM01299	11167602	Regorafenib
SIDM01304	11167602	Regorafenib
SIDM01305	11167602	Regorafenib
SIDM01306	11167602	Regorafenib
SIDM01307	11167602	Regorafenib
SIDM01309	11167602	Regorafenib
SIDM01313	11167602	Regorafenib
SIDM01314	11167602	Regorafenib
SIDM01491	11167602	Regorafenib
SIDM01564	11167602	Regorafenib
SIDM01613	11167602	Regorafenib
SIDM01705	11167602	Regorafenib
SIDM01942	11167602	Regorafenib
SIDM01943	11167602	Regorafenib
