Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1730,PAK_5339,"SN1046290829, PAK_5339",NA,"PAK1, PAK2",Cytoskeleton,GDSC2,SANGER,NA
1459,PARP_0108,SN1044053371,NA,"PARP1, PARP2, PARP6",Genome integrity,GDSC1,SANGER,NA
1460,PARP_9482,SN1031920820,NA,"PARP1, PARP2, PARP5a",Genome integrity,GDSC1,SANGER,NA
1458,PARP_9495,SN1024601395,NA,"PARP1, PARP2, PARP7",Genome integrity,GDSC1,SANGER,NA
2145,PBD-288,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1621,PCI-34051,AK298746,24753719,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation,GDSC2,SANGER,GDSC
1060,PD0325901,"PD-0325901, PD 0325901",9826528,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1060,PD0325901,"PD-0325901, PD 0325901",9826528,"MEK1, MEK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
1049,PD173074,"PD-173074, PD 173074",1401,"FGFR1, FGFR2, FGFR3",RTK signaling,GDSC1,SANGER,GDSC
1049,PD173074,"PD-173074, PD 173074",1401,"FGFR1, FGFR2, FGFR3",RTK signaling,GDSC2,SANGER,GDSC
363,PF-00299804,NA,11511120,"EGFR, ERBB2, ERBB4",RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1129,PF-4708671,"PF 4708671, PF4708671",51371303,S6K1,PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1129,PF-4708671,"PF 4708671, PF4708671",51371303,S6K1,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
158,PF-562271,PF-00562271,11713159,"FAK, FAK2",Cytoskeleton,GDSC1,MGH,GDSC
1219,PFI-1,NA,71271629,BRD4,Chromatin other,GDSC1,SANGER,GDSC
2173,PFI-1,NA,71271629,BRD4,Chromatin other,GDSC2,SANGER,GDSC
1530,PFI-3,BDF00016096,78243717,"PB1, SMARCA4, SMARCA2",Chromatin other,GDSC1,SANGER,GDSC
1620,PFI3,"PFI-3, PFI 3, AOB2221",78243717,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other,GDSC2,SANGER,GDSC
6,PHA-665752,"PHA665752, PHA 665752",10461815,MET,RTK signaling,GDSC1,MGH,GDSC
301,PHA-793887,"PHA793887, PHA 793887",46191454,"CDK2, CDK7, CDK5",Cell cycle,GDSC1,MGH,GDSC
302,PI-103,"PI-103, PI103, PI 103",9884685,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases",GDSC1,MGH,GDSC
1446,PI3Ka_4409,SN1037097676,NA,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling,GDSC1,SANGER,NA
303,PIK-93,"PIK 93, PIK93",6852167,PK3CG,PI3K/MTOR signaling,GDSC1,MGH,GDSC
1451,PLK_6522,SN1077317349,NA,"PLK1, PLK2, PLK3",Cell cycle,GDSC1,SANGER,NA
1036,PLX-4720,"PLX4720, PLX 4720",24180719,BRAF,ERK MAPK signaling,GDSC1,SANGER,GDSC
1371,PLX-4720,"PLX4720, PLX 4720",24180719,BRAF,ERK MAPK signaling,GDSC1,SANGER,GDSC
1036,PLX-4720,"PLX4720, PLX 4720",24180719,BRAF,ERK MAPK signaling,GDSC2,SANGER,GDSC
2148,POMHEX,NA,122540908,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1131,PRIMA-1MET,"Prima 1MET, APR-246",52918385,TP53 activation,p53 pathway,GDSC2,SANGER,GDSC
1631,PRT062607,"P505-15, PRT-2607, BIIB-057",44462758,SYK,"Other, kinases",GDSC2,SANGER,GDSC
11,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",36314,Microtubule stabiliser,Mitosis,GDSC1,MGH,GDSC
1080,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",36314,Microtubule stabiliser,Mitosis,GDSC2,SANGER,GDSC
1054,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73",5330286,"CDK4, CDK6",Cell cycle,GDSC1,SANGER,GDSC
1054,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73",5330286,"CDK4, CDK6",Cell cycle,GDSC2,SANGER,GDSC
438,Panobinostat,"Farydak, LBH589",6918837,HDAC,Chromatin histone acetylation,GDSC1,MGH,PubChem [ID Exchange]
89,Parthenolide,NA,7251185,HDAC1,Chromatin histone acetylation,GDSC1,MGH,GDSC
199,Pazopanib,Votrient,10113978,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling,GDSC1,MGH,GDSC
282,Pelitinib,"EKB-569, EKB 569",6445562,EGFR,EGFR signaling,GDSC1,MGH,GDSC
428,Pemetrexed,NA,135410875,TYMS,DNA replication,GDSC1,MGH,PubChem [ID Exchange]
1529,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",16720766,NAE,Other,GDSC1,SANGER,GDSC
1529,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",16720766,NAE,Other,GDSC2,SANGER,GDSC
196,Phenformin,DBI,8249,Biguanide agent,Other,GDSC1,MGH,GDSC
1635,Picolinici-acid,Picolinate,1018,Inflammatory related,Other,GDSC2,SANGER,GDSC
1058,Pictilisib,"GDC-0941, GDC0941, RG-7621",17755052,PI3K (class 1),PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1527,Pictilisib,"GDC-0941, GDC0941, RG-7621",17755052,PI3K (class 1),PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1058,Pictilisib,"GDC-0941, GDC0941, RG-7621",17755052,PI3K (class 1),PI3K/MTOR signaling,GDSC2,SANGER,GDSC
372,Pilaralisib,XL-147,56599306,PI3K,PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
1243,Piperlongumine,Piplartine,637858,Induces reactive oxygen species,Other,GDSC1,SANGER,GDSC
1243,Piperlongumine,Piplartine,637858,Induces reactive oxygen species,Other,GDSC2,SANGER,GDSC
1825,Podophyllotoxin bromide,NA,234820,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
155,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig",24826799,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",GDSC1,MGH,GDSC
2044,Pyridostatin,NA,25227847,G-quadruplex stabiliser,DNA replication,GDSC2,SANGER,GDSC
71,Pyrimethamine,"Daraprim, Chloridine",4993,Dihydrofolate reductase (DHFR),Other,GDSC1,MGH,GDSC
1166,QL-VIII-58,NA,58525121,"MTOR, ATR",Other,GDSC1,SANGER,HMS-LINCS
331,QL-X-138,NA,73707530,BTK,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
329,QL-XI-92,NA,73265214,DDR1,Cytoskeleton,GDSC1,MGH,HMS-LINCS
235,QL-XII-47,NA,71748056,"BTK, BMX","Other, kinases",GDSC1,MGH,HMS-LINCS
1155,QL-XII-47,NA,71748056,IRAK1,"Other, kinases",GDSC1,SANGER,HMS-LINCS
1203,QL-XII-61,NA,71576693,"BMX, BTK","Other, kinases",GDSC1,SANGER,HMS-LINCS
151,QS11,944328-88-5,4263900,ARFGAP1,Other,GDSC1,MGH,GDSC
254,Quizartinib,"AC220, AC 220, AC-220, Asp-2689",24889392,FLT3,RTK signaling,GDSC1,MGH,GDSC
1453,RAF_9304,SN1034259943,NA,"ARAF, BRAF, CRAF",ERK MAPK signaling,GDSC1,SANGER,NA
1052,RO-3306,NA,135400873,CDK1,Cell cycle,GDSC1,SANGER,GDSC [Legacy CID 44450571]
1052,RO-3306,NA,135400873,CDK1,Cell cycle,GDSC2,SANGER,GDSC [Legacy CID 44450571]
576,RU-SKI 43,NA,46006640,Shh,Other,GDSC1,MGH,PubChem [ID Exchange]
1625,RVX-208,"1044870-39-4, Apabetalone",135564749,BRD4,Chromatin other,GDSC2,SANGER,GDSC [Legacy CID 24871506]
3,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",5284616,MTORC1,PI3K/MTOR signaling,GDSC1,MGH,GDSC [Legacy CID 5384616]
1084,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",5284616,MTORC1,PI3K/MTOR signaling,GDSC2,SANGER,GDSC [Legacy CID 5384616]
1014,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",44182295,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1526,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",44182295,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1014,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",44182295,"MEK1, MEK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
2057,Remodelin,NA,44442376,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1632,Ribociclib,"LEE011, NVP-LEE011, LEE011-BBA",44631912,"CDK4, CDK6",Cell cycle,GDSC2,SANGER,GDSC
1817,Romidepsin,"Istodax, FK228, Depsipeptide",5352062,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation,GDSC2,SANGER,PubChem [ID Exchange]
1175,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699",9931953,"PARP1, PARP2",Genome integrity,GDSC1,SANGER,GDSC
1175,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699",9931953,"PARP1, PARP2",Genome integrity,GDSC2,SANGER,GDSC
206,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",25126798,"JAK1, JAK2","Other, kinases",GDSC1,MGH,GDSC
1507,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",25126798,"JAK1, JAK2","Other, kinases",GDSC2,SANGER,GDSC
41,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",76044,KIF11,Mitosis,GDSC1,MGH,GDSC
1025,SB216763,"SB-216763, SB 216763",176158,"GSK3A, GSK3B",WNT signaling,GDSC1,SANGER,GDSC
1025,SB216763,"SB-216763, SB 216763",176158,"GSK3A, GSK3B",WNT signaling,GDSC2,SANGER,GDSC
476,SB505124,"SB 505124, SB505124",9858940,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1194,SB505124,"SB 505124, SB505124",9858940,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,GDSC1,SANGER,GDSC
1194,SB505124,"SB 505124, SB505124",9858940,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,GDSC2,SANGER,GDSC
304,SB52334,"SB-52334, SB 52334",9967941,ALK5,RTK signaling,GDSC1,MGH,GDSC
1061,SB590885,SB-590885,135421339,BRAF,ERK MAPK signaling,GDSC1,SANGER,GDSC [Legacy CID 11316960]
1061,SB590885,SB-590885,135421339,BRAF,ERK MAPK signaling,GDSC2,SANGER,GDSC [Legacy CID 11316960]
1564,SCH772984,CS-1421,24866313,"ERK1, ERK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
1582,SGC-CBP30,"8-(3-chloro-4-methoxy-phenethyl)-4-(3,5-dimethyl-isoxazol-4-yl)-9-(2-(morpholin-4-yl)-propyl)-7,9-diaza-bicyclo[4.3.0]nona-1(6),2,4,7-tetraene",72201027,"EP300, CBP",Chromatin histone acetylation,GDSC2,SANGER,PubChem [ID Exchange]
1264,SGC0946,NA,56962337,DOT1L,Chromatin histone methylation,GDSC1,SANGER,GDSC
2177,SGC0946,NA,56962337,DOT1L,Chromatin histone methylation,GDSC2,SANGER,GDSC
1039,SL0101,"SL-0101, SL 0101-1",10459196,"RSK, AURKB, PIM1, PIM3","Other, kinases",GDSC1,SANGER,GDSC
1039,SL0101,"SL-0101, SL 0101-1",10459196,"RSK, AURKB, PIM1, PIM3","Other, kinases",GDSC2,SANGER,GDSC
1490,SN-38,SN1095903706,104842,TOP1,DNA replication,GDSC1,SANGER,PubChem [ID Exchange]
1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",104842,TOP1,DNA replication,GDSC1,SANGER,GDSC
1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",104842,TOP1,DNA replication,GDSC2,SANGER,GDSC
328,SNX-2112,SNX 2112,24772860,HSP90,Protein stability and degradation,GDSC1,MGH,GDSC
258,STF-62247,STF62247,704473,Autophagy inducer,Other,GDSC1,MGH,GDSC
285,SU11274,NA,9549297,MET,RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1849,Sabutoclax,BI-97C1,46236925,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation,GDSC2,SANGER,GDSC
111,Salubrinal,EIF-2alpha Inhibitor,5717801,EIF2A,Other,GDSC1,MGH,GDSC
1549,Sapitinib,AZD8931,11488320,"EGFR, ERBB2, ERBB3",EGFR signaling,GDSC2,SANGER,GDSC
38,Saracatinib,"AZD0530, AZD-0530, AZ-10353926",10302451,"ABL, SRC","Other, kinases",GDSC1,MGH,GDSC
1936,Savolitinib,"AZD6094, Volitinib, AZD-6094, AZD 6094",68289010,MET,RTK signaling,GDSC2,SANGER,GDSC
1845,Schweinfurthin A,NA,643462,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
110,Seliciclib,"Roscovitine, CYC-202, AL-39256",160355,"CDK2, CDK7, CDK9",Cell cycle,GDSC1,MGH,GDSC
341,Selisistat,"EX-527, EX 527",5113032,SIRT1,Chromatin histone acetylation,GDSC1,MGH,GDSC
1062,Selumetinib,"AZD6244, AZD-6244, ARRY-886",10127622,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1498,Selumetinib,"AZD6244, AZD-6244, ARRY-886",10127622,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1062,Selumetinib,"AZD6244, AZD-6244, ARRY-886",10127622,"MEK1, MEK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
1736,Selumetinib,"SN1103949345, AZD1480",10127622,"MEK1, MEK2",ERK MAPK signaling,GDSC2,SANGER,PubChem [ID Exchange]
268,Sepantronium bromide,"YM155, YM-155, YM 155",11178236,BIRC5,Apoptosis regulation,GDSC1,MGH,GDSC
1941,Sepantronium bromide,"YM155, YM-155, YM 155",11178236,BIRC5,Apoptosis regulation,GDSC2,SANGER,GDSC
1133,Serdemetan,JNJ-26854165,11609586,MDM2,p53 pathway,GDSC1,SANGER,GDSC
1133,Serdemetan,JNJ-26854165,11609586,MDM2,p53 pathway,GDSC2,SANGER,GDSC
170,Shikonin,Anchusin,5208,not defined,Other,GDSC1,MGH,GDSC
1838,Sinularin,NA,5477029,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
30,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",216239,"PDGFR, KIT, VEGFR, RAF",RTK signaling,GDSC1,MGH,GDSC
1085,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",216239,"PDGFR, KIT, VEGFR, RAF","Other, kinases",GDSC2,SANGER,GDSC
408,Sphingosine Kinase 1 Inhibitor II,PF-543,66577038,Sphingosine Kinase,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
1034,Staurosporine,NA,44259,Broad spectrum kinase inhibitor,RTK signaling,GDSC2,SANGER,PubChem [ID Exchange]
5,Sunitinib,"Sutent, Sunitinib Malate, SU-11248",5329102,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,GDSC1,MGH,GDSC
333,T0901317,"TO-901317, TO901317",447912,"LXR, FXR",Other,GDSC1,MGH,GDSC
1732,TAF1_5496,"SN1050393042, TAF1_5496",NA,TAF1,Other,GDSC2,SANGER,NA
221,TAK-715,"KIN001-201, TAK 715",9952773,"p38alpha, p38beta",JNK and p38 signaling,GDSC1,MGH,GDSC
1461,TANK_1366,SN1032446568,NA,"Tankyrase 1/2 (PARP5a, PARP5b)",Genome integrity,GDSC1,SANGER,NA
94,TGX221,"TGX-221, Tgx 221",9907093,PI3Kbeta,PI3K/MTOR signaling,GDSC1,MGH,GDSC
2360,THR-101,WIMM synthesis,NA,Mutant RAS,PI3K/MTOR signaling,GDSC2,SANGER,NA
2361,THR-102,WIMM synthesis,NA,Mutant RAS,PI3K/MTOR signaling,GDSC2,SANGER,NA
2362,THR-103,WIMM synthesis,NA,Mutant RAS,PI3K/MTOR signaling,GDSC2,SANGER,NA
1145,THZ-1-87,NA,NA,"BTK, BMX","Other, kinases",GDSC1,SANGER,NA
346,THZ-2-102-1,NA,NA,CDK7,Cell cycle,GDSC1,MGH,NA
344,THZ-2-49,NA,NA,CDK9,Cell cycle,GDSC1,MGH,NA
1165,THZ-2-98-01,NA,NA,IRAK1,Unclassified,GDSC1,SANGER,NA
261,TL-1-85,NA,NA,"TAK1, MAP4K2","Other, kinases",GDSC1,MGH,NA
211,TL-2-105,NA,NA,not defined,Other,GDSC1,MGH,NA
305,TPCA-1,NA,9903786,IKK2,"Other, kinases",GDSC1,MGH,GDSC
1464,TTK_3146,SN1080714093,NA,TTK,Mitosis,GDSC1,SANGER,NA
1149,TW 37,"TW37, TW-37",11455910,"BCL2, BCL-XL, MCL1",Apoptosis regulation,GDSC1,SANGER,GDSC
1149,TW 37,"TW37, TW-37",11455910,"BCL2, BCL-XL, MCL1",Apoptosis regulation,GDSC2,SANGER,GDSC
366,TWS119,NA,9549289,GSK3,WNT signaling,GDSC1,MGH,PubChem [ID Exchange]
1259,Talazoparib,"BMN-673, BMN 973",135565082,"PARP1, PARP2",Genome integrity,GDSC1,SANGER,GDSC [Legacy CID 44819241]
1259,Talazoparib,"BMN-673, BMN 973",135565082,"PARP1, PARP2",Genome integrity,GDSC2,SANGER,GDSC [Legacy CID 44819241]
1199,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",2733526,ESR1,Hormone-related,GDSC1,SANGER,GDSC
1199,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",2733526,ESR1,Hormone-related,GDSC2,SANGER,GDSC
1026,Tanespimycin,"17-AAG, BMS-722782",6505803,HSP90,Protein stability and degradation,GDSC1,SANGER,GDSC
1026,Tanespimycin,"17-AAG, BMS-722782",6505803,HSP90,Protein stability and degradation,GDSC2,SANGER,GDSC
1561,Taselisib,"GDC-0032, GDC0032, RG7604",51001932,PI3K (beta sparing),PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1930,Telomerase Inhibitor IX,"MST-312, MST 312, MST312",10385095,Telomerase,Genome integrity,GDSC2,SANGER,GDSC
1375,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365",5394,DNA alkylating agent,DNA replication,GDSC1,SANGER,GDSC
1375,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365",5394,DNA alkylating agent,DNA replication,GDSC2,SANGER,GDSC
1016,Temsirolimus,"CCI-779, Torisel",6918289,MTOR,PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1016,Temsirolimus,"CCI-779, Torisel",6918289,MTOR,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1809,Teniposide,Vumon,452548,NA,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
342,Tenovin-6,NA,24772043,SIRT,Chromatin histone acetylation,GDSC1,MGH,PubChem [ID Exchange]
180,Thapsigargin,Octanoic acid,446378,SERCA,Other,GDSC1,MGH,GDSC
204,Tipifarnib,Zarnestra,159324,Farnesyl-transferase (FNTA),Other,GDSC1,MGH,GDSC
312,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130",9911830,"VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT",RTK signaling,GDSC1,MGH,GDSC
1808,Topotecan,NA,60700,TOP1,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
371,Torin 2,NA,51358113,mTOR,PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
32,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",5494449,"AURKA, AURKB, AURKC, others",Mitosis,GDSC1,MGH,GDSC
1096,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",5494449,"AURKA, AURKB, AURKC, others",Mitosis,GDSC2,SANGER,GDSC
1372,Trametinib,"GSK1120212, Mekinist",11707110,"MEK1, MEK2",ERK MAPK signaling,GDSC1,SANGER,GDSC
1372,Trametinib,"GSK1120212, Mekinist",11707110,"MEK1, MEK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",444795,Retinoic acid,Other,GDSC1,SANGER,GDSC
1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",444795,Retinoic acid,Other,GDSC2,SANGER,GDSC
437,Trichostatin A,NA,444732,HDAC,Chromatin histone acetylation,GDSC1,MGH,PubChem [ID Exchange]
265,Tubastatin A,NA,49850262,"HDAC1, HDAC6, HDAC8",Chromatin histone acetylation,GDSC1,MGH,GDSC [Legacy CID 53394750]
1733,ULK1_4989,"SN1049257073, ULK1_4989",NA,ULK1,"Other, kinases",GDSC2,SANGER,NA
1939,UMI-77,"UMI 77, UMI-77",992586,MCL1,Apoptosis regulation,GDSC2,SANGER,GDSC
2159,UNC0379,NA,78357767,SETD8,Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
245,UNC0638,"UNC-0638, UNC 0683",46224516,G9a and GLP methyltransferases,Chromatin histone methylation,GDSC1,MGH,GDSC
1236,UNC0638,"UNC-0638, UNC 0683",46224516,G9a and GLP methyltransferases,Chromatin histone methylation,GDSC1,SANGER,GDSC
2038,UNC0638,NA,46224516,"G9A, GLP",Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
1263,UNC0642,NA,53315878,"G9A, GLP",Chromatin histone methylation,GDSC1,SANGER,PubChem [ID Exchange]
1262,UNC1215,UNC-1215,57339144,L3MBTL3,Chromatin other,GDSC1,SANGER,GDSC
1908,Ulixertinib,"BVD-523, VRT752271",11719003,"ERK1, ERK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
2047,Ulixertinib,"BVD-523, VRT752271",11719003,"ERK1, ERK2",ERK MAPK signaling,GDSC2,SANGER,GDSC
1553,Uprosertib,"GSK2141795, GSK2141795C, GSK-2141795",51042438,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
2106,Uprosertib,"GSK2141795, GSK2141795C, GSK-2141795",51042438,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1613,VE-822,"VE 822, VE822, Berzosertib",59472121,ATR,Genome integrity,GDSC2,SANGER,GDSC
2111,VE821,"VE 821, VE-821",51000408,ATR,Genome integrity,GDSC2,SANGER,GDSC
271,VNLG/124,HDAC inhibitor XV,24894414,"HDAC,RAR",Chromatin histone acetylation,GDSC1,MGH,GDSC
1734,VSP34_8731,"SN1049998399, VSP34_8731",NA,VSP34,Other,GDSC2,SANGER,NA
2112,VTP-A,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
2113,VTP-B,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
262,VX-11e,"VX11e, VX11e",11634725,ERK2,ERK MAPK signaling,GDSC1,MGH,GDSC
2096,VX-11e,"VX11e, VX11e",11634725,ERK2,ERK MAPK signaling,GDSC2,SANGER,GDSC
1028,VX-702,"VX702, VX 702",10341154,p38,JNK and p38 signaling,GDSC1,SANGER,GDSC
1018,Veliparib,"ABT-888, ABT888, ABT 888",11960529,"PARP1, PARP2",Genome integrity,GDSC1,SANGER,GDSC
1018,Veliparib,"ABT-888, ABT888, ABT 888",11960529,"PARP1, PARP2",Genome integrity,GDSC2,SANGER,GDSC
1909,Venetoclax,"ABT-199, Veneclexta, GDC-0199",49846579,BCL2,Apoptosis regulation,GDSC2,SANGER,GDSC
412,Venotoclax,"ABT-199, Veneclexta, GDC-0199",49846579,BCL-2 selective,Apoptosis regulation,GDSC1,MGH,Manual Search
1004,Vinblastine,Velban,6710780,Microtubule destabiliser,Mitosis,GDSC1,SANGER,GDSC
1004,Vinblastine,Velban,6710780,Microtubule destabiliser,Mitosis,GDSC2,SANGER,GDSC
1818,Vincristine,NA,5978,NA,NA,GDSC2,SANGER,PubChem [ID Exchange]
140,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",5311497,Microtubule destabiliser,Mitosis,GDSC1,MGH,GDSC
2048,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",5311497,Microtubule destabiliser,Mitosis,GDSC2,SANGER,GDSC
1033,Vismodegib,"GDC0449, Erivedge",24776445,SMO,Other,GDSC1,SANGER,GDSC
1033,Vismodegib,"GDC0449, Erivedge",24776445,SMO,Other,GDSC2,SANGER,GDSC
1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",5311,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,GDSC1,SANGER,GDSC
1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",5311,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,GDSC2,SANGER,GDSC
375,Voxtalisib,"XL-765, SAR245409",16123056,"PI3K (class 1), DNAPK, MTOR",PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
1997,WEHI-539,"WEHI539, WEHI-539",71297207,BCL-XL,Apoptosis regulation,GDSC2,SANGER,GDSC
56,WH-4-023,KIN001-112,11844351,"SRC, LCK","Other, kinases",GDSC1,MGH,GDSC
288,WHI-P97,"AC1L1GQE, KIN001-055",3796,JAK3,"Other, kinases",GDSC1,MGH,GDSC
1940,WIKI4,"WIKI-4, WIKI 4",2984337,"TNKS1, TNKS2",WNT signaling,GDSC2,SANGER,GDSC
317,WYE-125132,NA,25260757,mTOR,PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
59,WZ-1-84,KIN001-123,49821040,BMX,"Other, kinases",GDSC1,MGH,GDSC
252,WZ3105,NA,42628507,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",Other,GDSC1,MGH,HMS-LINCS
1614,WZ4003,WZ 4003,72200024,"NUAK1, NUAK2","Other, kinases",GDSC2,SANGER,GDSC
1046,Wee1 Inhibitor,"681640, Wee1 Inhibitor",10384072,"WEE1, CHEK1",Cell cycle,GDSC1,SANGER,GDSC
1046,Wee1 Inhibitor,"681640, Wee1 Inhibitor",10384072,"WEE1, CHEK1",Cell cycle,GDSC2,SANGER,GDSC
574,Wnt-C59,NA,57519544,PORCN,WNT signaling,GDSC1,MGH,PubChem [ID Exchange]
1622,Wnt-C59,"AOB3540, AK161197",57519544,PORCN,WNT signaling,GDSC2,SANGER,GDSC
1268,XAV939,"NVP-XAV939, XAV-939, XAV 939",135418940,"TNKS1, TNKS2",WNT signaling,GDSC1,SANGER,GDSC [Legacy CID 2726824]
1268,XAV939,"NVP-XAV939, XAV-939, XAV 939",135418940,"TNKS1, TNKS2",WNT signaling,GDSC2,SANGER,GDSC [Legacy CID 2726824]
1157,XMD11-50,NA,46843906,"LRRK2, ERK5","Other, kinases",GDSC1,SANGER,HMS-LINCS
1158,XMD11-85h,NA,42628535,"LRRK2, ERK5","Other, kinases",GDSC1,SANGER,HMS-LINCS
330,XMD13-2,NA,68234129,MRCKB,Cytoskeleton,GDSC1,MGH,HMS-LINCS
253,XMD14-99,NA,73265211,"ALK, CDK7, LTK, others","Other, kinases",GDSC1,MGH,HMS-LINCS
332,XMD15-27,NA,NA,CAMK2,"Other, kinases",GDSC1,MGH,NA
106,XMD8-85,ERK5-IN-1,46844147,"ERK5, BET",Other,GDSC1,MGH,GDSC
