Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1059,AZD8055,AZD-8055,25262965,"MTORC1, MTORC2",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1444,AZD8186,SN1028722848,52913813,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,GDSC1,SANGER,PubChem [ID Exchange]
1918,AZD8186,"AZD 8186, AZD-8186",52913813,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1445,AZD8835,SN1040214596,76685059,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling,GDSC1,SANGER,PubChem [ID Exchange]
1416,AZD8931,SN0216062465,11488320,"EGFR, ERBB2, ERBB3",RTK signaling,GDSC1,SANGER,PubChem [ID Exchange]
1803,Acetalax,Oxyphenisatin acetate,8269,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1804,Acetalax,Oxyphenisatin acetate,8269,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1032,Afatinib,"BIBW2992, Tovok, Gilotrif",10184653,"EGFR, ERBB2",EGFR signaling,GDSC1,SANGER,GDSC
1377,Afatinib,"BIBW2992, Tovok, Gilotrif",10184653,"EGFR, ERBB2",EGFR signaling,GDSC1,SANGER,GDSC
1032,Afatinib,"BIBW2992, Tovok, Gilotrif",10184653,"EGFR, ERBB2",EGFR signaling,GDSC2,SANGER,GDSC
1912,Afuresertib,"GSK2110183, GSK2110183C",46843057,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
281,Alectinib,"CH5424802, CH 542802, Alecensa",49806720,ALK,RTK signaling,GDSC1,MGH,GDSC
431,Alisertib,MLN8237,24771867,AURKA,Mitosis,GDSC1,MGH,PubChem [ID Exchange]
1051,Alisertib,MLN8237,24771867,AURKA,Mitosis,GDSC2,SANGER,GDSC
1560,Alpelisib,"BYL719, BYL-719, NVP-BYL719",56649450,PI3Kalpha,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
293,Amuvatinib,"MP470, MP 470, MP-470",11282283,"KIT, PDGFRA, FLT3",RTK signaling,GDSC1,MGH,GDSC
382,Apitolisib,GDC0980,25254071,"mTOR, PI3K",PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
427,Ara-G,9-??-D-Arabinofuranosyl guanine,135402034,Anti-metabolite,Other,GDSC1,MGH,PubChem [ID Exchange]
205,Avagacestat,"BMS-708163, BMS 708163",46883536,"Amyloid beta20, Amyloid beta40",Other,GDSC1,MGH,GDSC
1072,Avagacestat,"BMS-708163, BMS 708163",46883536,"Amyloid beta20, Amyloid beta40",Other,GDSC1,SANGER,GDSC
1072,Avagacestat,"BMS-708163, BMS 708163",46883536,"Amyloid beta20, Amyloid beta40",Other,GDSC2,SANGER,GDSC
1021,Axitinib,"AG-13736, Inlyta",6450551,"PDGFR, KIT, VEGFR",RTK signaling,GDSC1,SANGER,GDSC
1021,Axitinib,"AG-13736, Inlyta",6450551,"PDGFR, KIT, VEGFR",RTK signaling,GDSC2,SANGER,GDSC
552,BAM7,NA,3101542,Bax activator,Other,GDSC1,MGH,PubChem [ID Exchange]
1362,BAY ACCi,NA,NA,ACACA,Metabolism,GDSC1,SANGER,NA
1363,BAY AKT1,NA,NA,"AKT1, AKT2, AKT3",Apoptosis regulation,GDSC1,SANGER,NA
178,BAY-61-3606,"Syk Inhibitor, BAY-613606",10200390,SYK,"Other, kinases",GDSC1,MGH,GDSC
1364,BAY-HDAC11_1,NA,NA,HDAC11,Chromatin histone acetylation,GDSC1,SANGER,NA
1365,BAY-HDAC11_2,NA,NA,HDAC11,Chromatin histone acetylation,GDSC1,SANGER,NA
1367,BAY-HDAC11_4,NA,NA,HDAC11,Chromatin histone acetylation,GDSC1,SANGER,NA
1370,BAY-MPS-combo 2 (paclitaxel 1 uM),NA,NA,TTK and microtubules,Unclassified,GDSC1,SANGER,NA
1369,BAY-MPS-combo-1 (paclitaxel 5 uM),NA,NA,TTK and microtubules,Mitosis,GDSC1,SANGER,NA
1368,BAY-MPS1,NA,NA,MPS1,Mitosis,GDSC1,SANGER,NA
1585,BDF00022089a,NA,NA,"BRPF1, BRPF2, BRPF3",Chromatin histone acetylation,GDSC2,SANGER,NA
1586,BDILV000379a,"4-(4-(1-methyl-1H-pyrazol-4-yl)-1-(2-(1-methyl-1H-pyrazol-4-yl)ethyl)-4,5-dihydro-1H-imidazol-5-yl)benzonitrile",NA,"BAZ2A, BAZ2B",Chromatin histone acetylation,GDSC2,SANGER,NA
