"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM00383","ACH-002198","909711","SCH_STOMACH","CVCL_1687","SCH",NA,"UNCLASSIFIED","Stomach","Gastric Carcinoma","Gastric Choriocarcinoma"
"SIDM00394","ACH-001650","1240212","SISO_CERVIX","CVCL_2193","SISO",NA,"CESC","Cervix","Cervical Carcinoma","Cervical Adenocarcinoma"
"SIDM00393","ACH-001653","1503364","SKGT2_STOMACH","CVCL_2194","SK-GT-2",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Fundus Carcinoma"
"SIDM00392","ACH-000810","909726","SKMEL30_SKIN","CVCL_0039","SK-MEL-30","AW-Mel","SKCM","Skin","Melanoma","Cutaneous Melanoma"
"SIDM00379","ACH-002304","909729","SKMG1_CENTRAL_NERVOUS_SYSTEM","CVCL_1698","SK-MG-1","AJ","GBM","Central Nervous System","Glioma","Astrocytoma"
"SIDM00391","ACH-000363","753612","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1699","SK-MM-2",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00381","ACH-002020","930298","SKGIIIA_CERVIX","CVCL_1704","SKG-IIIa","SKG-3a","CESC","Cervix","Cervical Carcinoma","Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma"
"SIDM00380","ACH-000373","909722","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0098","SKM-1",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00375","ACH-002305","1299059","SKN3_UPPER_AERODIGESTIVE_TRACT","CVCL_3168","SKN-3",NA,"HNSC","Head and Neck","Head and Neck Carcinoma","Head and Neck Squamous Cell Carcinoma"
"SIDM00377","ACH-001655","1240215","SKN_ENDOMETRIUM","CVCL_3167","SKN",NA,"UNCLASSIFIED","Uterus","Other Sarcomas","Uterine Corpus Leiomyosarcoma"
"SIDM00374","ACH-002062","1331032","SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_3169","SLVL","VL51","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Splenic Marginal Zone B-Cell Lymphoma with Villous Lymphocytes"
"SIDM00405","ACH-000365","1331035","SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0539","SU-DHL-4","SUD4;SU4","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00322","ACH-000561","1299064","TT_OESOPHAGUS","CVCL_3174","T-T","tdott","ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00418","ACH-000716","1240223","TT2609C02_THYROID","CVCL_2218","TT2609-C02","TT2609-CO2","THCA","Thyroid","Thyroid Gland Carcinoma","Follicular Thyroid Carcinoma"
"SIDM00413","ACH-000534","1331050","WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1902","WSU-DLCL2",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00315","ACH-000570","687592","YKG1_CENTRAL_NERVOUS_SYSTEM","CVCL_1796","YKG-1",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00414","ACH-000545","909780","VMCUB1_URINARY_TRACT","CVCL_1786","VM-CUB-1","VM-CUB-I","BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM00610","ACH-000164","753625","PANC1_PANCREAS","CVCL_0480","PANC-1",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM00624",NA,NA,NA,"CVCL_5801","MM1",NA,NA,"Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00626","ACH-000490",NA,"SF767_CENTRAL_NERVOUS_SYSTEM","CVCL_6950","SF767",NA,"CESC","Cervix","Cervical Carcinoma","Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma"
"SIDM00635",NA,NA,NA,"CVCL_6671","MC-CAR-Z2",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00639","ACH-000152","1298232","M059K_CENTRAL_NERVOUS_SYSTEM","CVCL_0401","M059K",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00647",NA,NA,NA,"CVCL_1502","NCI-H1870",NA,NA,"Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00483","ACH-001654","1503365","SKGT4_OESOPHAGUS","CVCL_2195","SK-GT-4",NA,"ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00458","ACH-000751","1330985","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2149","OCI-M1",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00469","ACH-000320","910546","PSN1_PANCREAS","CVCL_1644","PSN1",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00420","ACH-000566","909749","SW1710_URINARY_TRACT","CVCL_1721","SW1710",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM00643","ACH-002363",NA,"NCIBL1395_MATCHED_NORMAL_TISSUE","CVCL_2638","NCI-BL1395",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00421","ACH-000226","1331040","SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2209","SUP-M2",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Anaplastic Large Cell Lymphoma"
"SIDM00479","ACH-000679","910079","OE19_OESOPHAGUS","CVCL_1622","OE19","JROECL19;OEC19","ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00424","ACH-001680","909777","U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0017","U-698-M",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Precursor Lymphoblastic Lymphoma"
"SIDM00491","ACH-001443","1290722","ASH3_THYROID","CVCL_2856","ASH-3",NA,"THCA","Thyroid","Thyroid Gland Carcinoma","Anaplastic Thyroid Carcinoma"
"SIDM00485","ACH-000794","1240121","BICR22_UPPER_AERODIGESTIVE_TRACT","CVCL_2310","BICR22",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Tongue Squamous Cell Carcinoma"
"SIDM00490","ACH-001016","906746","BECKER_CENTRAL_NERVOUS_SYSTEM","CVCL_1093","Becker","AK","GBM","Central Nervous System","Glioma","Astrocytoma"
"SIDM00489","ACH-002043","753538","CA922_UPPER_AERODIGESTIVE_TRACT","CVCL_1102","Ca9-22",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Gingival Squamous Cell Carcinoma"
"SIDM00488","ACH-002345","924108","CAR1_LARGE_INTESTINE","CVCL_1116","CaR-1",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM00386","ACH-000391","908134","MHHES1_BONE","CVCL_1411","MHH-ES-1",NA,"UNCLASSIFIED","Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM00442","ACH-000058","1240178","ML1_THYROID","CVCL_H525","ML-1",NA,"THCA","Thyroid","Thyroid Gland Carcinoma","Follicular Thyroid Carcinoma"
"SIDM00441","ACH-002273","908141","ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1418","ML-2",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00656",NA,NA,NA,"CVCL_1431","MUTZ-1",NA,NA,"Haematopoietic and Lymphoid","Burkitt's Lymphoma","Epstein-Barr Virus-Related Burkitt s Lymphoma"
"SIDM00428","ACH-000294","1323913","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0005","NB4",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Acute Promyelocytic Leukemia"
"SIDM00443","ACH-000287","1330982","NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1877","NU-DUL-1",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00481","ACH-000116","946360","OAW28_OVARY","CVCL_1614","OAW-28",NA,"OV","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM00446","ACH-000113","910947","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1619","OCI-AML2",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00462","ACH-000336","1290455","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1844","OCI-AML3",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00460","ACH-000124","1330984","OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1878","OCI-LY-19",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00478","ACH-000544","1298359","OE21_OESOPHAGUS","CVCL_2661","OE21","JROECL21","ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00477","ACH-000383","910549","OE33_OESOPHAGUS","CVCL_0471","OE33","JROECL33;OEC33","ESCA","Esophagus","Esophageal Carcinoma","Barrett s Adenocarcinoma"
"SIDM00457","ACH-000024","909249","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1625","OPM-2",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00475","ACH-000091","1480362","OV56_OVARY","CVCL_2673","OV-56",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Serous Adenocarcinoma"
"SIDM00474","ACH-000688","1480360","OV7_OVARY","CVCL_2675","OV-7",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Carcinoma"
"SIDM00466","ACH-000443","1240199","OVKATE_OVARY","CVCL_3110","OVKATE",NA,"OV","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM00465","ACH-002183","1240200","OVMIU_OVARY","CVCL_3112","OVMIU",NA,"OV","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM00463","ACH-000372","909251","P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1630","P12-ICHIKAWA",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00453","ACH-000023","1240201","PATU8988T_PANCREAS","CVCL_1847","PA-TU-8988T","PATU-T","PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00472","ACH-001630","1480372","PEO1_OVARY","CVCL_2686","PEO1","PE01","OV","Ovary","Ovarian Carcinoma","Ovarian Cystadenocarcinoma"
"SIDM00451","ACH-000937","909260","PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1641","PF-382",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00450","ACH-000218","1330991","PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2161","PL-21",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Acute Myeloid Leukemia"
"SIDM00467","ACH-002299","910545","QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1645","QIMR-WIL",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Acute Myeloid Leukemia"
"SIDM00448","ACH-001638","1330995","RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1883","RC-K8",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00427","ACH-002194","971773","RH1_BONE","CVCL_1658","RH-1","SJRH-1","UNCLASSIFIED","Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM00395","ACH-000099","753620","SIMA_AUTONOMIC_GANGLIA","CVCL_1695","SIMA",NA,"NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00390","ACH-000664","909742","SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0538","SU-DHL-1",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Anaplastic Large Cell Lymphoma"
"SIDM00423","ACH-000656","1331038","SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2207","SU-DHL-8",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00419","ACH-000424","1240221","TC71_BONE","CVCL_2213","TC-71","GM11654","UNCLASSIFIED","Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM00369","ACH-000647","753621","TE1_OESOPHAGUS","CVCL_1759","TE-1",NA,"ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00484","ACH-001321","930299","TT_THYROID","CVCL_1774","TT","MTC-TT","THCA","Thyroid","Thyroid Gland Carcinoma","Hereditary Thyroid Gland Medullary Carcinoma"
"SIDM00416","ACH-001703","1331048","VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1819","VAL",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00410","ACH-002317","946358","YT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1797","YT",NA,"ALL","Haematopoietic and Lymphoid","Other Blood Cancers","Natural Killer Cell Lymphoblastic Leukemia or Lymphoma"
"SIDM00642","ACH-001591","688001","NCIH1417_LUNG","CVCL_1469","NCI-H1417",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00972",NA,NA,NA,"CVCL_5239","1205Lu",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM00977",NA,NA,NA,"CVCL_L033","WM-165-1",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM00692","ACH-001444",NA,"BEWO_PLACENTA","CVCL_0044","BeWo",NA,NA,"Placenta","Other Solid Cancers","Gestational Choriocarcinoma"
"SIDM00765",NA,NA,NA,"CVCL_A513","NCI-H1881",NA,NA,"Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00786","ACH-001084","998180","HCT8_LARGE_INTESTINE","CVCL_2478","HCT-8",NA,"COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00787","ACH-001061","910912","DLD1_LARGE_INTESTINE","CVCL_0248","DLD-1",NA,"COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00495","ACH-000697","910935","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1062","A3-KAW","A3/Kawakami","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00502","ACH-000157","910934","A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1064","A4-Fuk","A4/Fukuda","DLBC","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Adult B Acute Lymphoblastic Leukemia"
"SIDM00494","ACH-000528","906791","ABC1_LUNG","CVCL_1066","ABC-1",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00492","ACH-000269","910933","AM38_CENTRAL_NERVOUS_SYSTEM","CVCL_1070","AM-38",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00501","ACH-001332","1240122","BICR78_UPPER_AERODIGESTIVE_TRACT","CVCL_2315","BICR78",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Oral Cavity Squamous Cell Carcinoma"
"SIDM00515","ACH-000401","906813","COLO800_SKIN","CVCL_1135","COLO-800",NA,"SKCM","Skin","Melanoma","Melanoma"
"SIDM00513","ACH-000161","906805","CORL105_LUNG","CVCL_1138","COR-L105",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00512","ACH-000662","687780","CORL23_LUNG","CVCL_1139","COR-L23","L23/P","UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Large Cell Lung Carcinoma"
"SIDM00510","ACH-002095","1297438","CORL303_LUNG","CVCL_2411","COR-L303",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00507","ACH-001490","1322213","CORL321_PLEURA","CVCL_2414","COR-L321",NA,"UNCLASSIFIED","Lung","Other Solid Cancers","Lung Carcinoma"
"SIDM00508","ACH-001489","1322212","CORL32_LUNG","CVCL_2413","COR-L32",NA,"SCLC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00506","ACH-000508","906808","CORL88_LUNG","CVCL_1141","COR-L88",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00542","ACH-002227","946370","D392MG_CENTRAL_NERVOUS_SYSTEM","CVCL_1158","D-392MG",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00522","ACH-000749","687985","DMS273_LUNG","CVCL_1176","DMS-273",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00523","ACH-000698","907295","DMS53_LUNG","CVCL_1177","DMS-53",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00540","ACH-002234","910936","DOK_UPPER_AERODIGESTIVE_TRACT","CVCL_1180","DOK",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Oral Dysplasia"
"SIDM00503","ACH-000633","1290806","FU97_STOMACH","CVCL_2908","FU97",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Adenocarcinoma"
"SIDM00543","ACH-002120","910932","GAK_SKIN","CVCL_1225","GAK",NA,"SKCM","Skin","Melanoma","Vulvar Melanoma"
"SIDM00544","ACH-001716","906875","GOTO_AUTONOMIC_GANGLIA","CVCL_1234","GOTO",NA,"NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00520","ACH-002134","1290814","H2818_PLEURA","CVCL_V000","NCI-H2818",NA,"MESO","Lung","Mesothelioma","Pleural Epithelioid Mesothelioma"
"SIDM00519","ACH-002135","1240138","H2869_PLEURA","CVCL_V001","NCI-H2869",NA,"MESO","Lung","Mesothelioma","Pleural Biphasic Mesothelioma"
"SIDM00518","ACH-002136","1240139",NA,"CVCL_A555","NCI-H290","H290: H-290;HUT-290","MESO","Lung","Mesothelioma","Malignant Pleural Mesothelioma"
"SIDM00517","ACH-002239","1240140",NA,"CVCL_A464","NCI-H3118",NA,"UNCLASSIFIED","Head and Neck","Head and Neck Carcinoma","Parotid Gland Mucoepidermoid Carcinoma"
"SIDM00496","ACH-001350","924151","HTCC3_THYROID","CVCL_1295","HTC-C3",NA,"THCA","Thyroid","Thyroid Gland Carcinoma","Anaplastic Thyroid Carcinoma"
"SIDM00533","ACH-000118","907285","HUPT3_PANCREAS","CVCL_1299","HuP-T3",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00531","ACH-000213","907286","HUPT4_PANCREAS","CVCL_1300","HuP-T4",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00556","ACH-000227","907314","KPNYN_AUTONOMIC_GANGLIA","CVCL_1341","KP-N-YN",NA,"NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00555","ACH-000631","907313","KS1_CENTRAL_NERVOUS_SYSTEM","CVCL_1343","KS-1",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00554","ACH-000524","909975","KURAMOCHI_OVARY","CVCL_1345","KURAMOCHI",NA,"UNCLASSIFIED","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM00553","ACH-002262","907300","KY821_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1346","KY821",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Acute Myelomonocytic Leukemia"
"SIDM00530","ACH-001544","1503368","KYAE1_OESOPHAGUS","CVCL_1825","KYAE-1",NA,"ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00552","ACH-000607","1240166","KYM1_SOFT_TISSUE","CVCL_3007","KYM-1",NA,"UNCLASSIFIED","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma"
"SIDM00551","ACH-002263","1240167","KYSE220_OESOPHAGUS","CVCL_1359","KYSE-220","KY-220","ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00549","ACH-002267","907787","LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1374","LC4-1",NA,"ALL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Childhood B Acute Lymphoblastic Leukemia"
"SIDM00548","ACH-000769","687787","LK2_LUNG","CVCL_1377","LK-2",NA,"LUSC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00547","ACH-000438","724863","LU65_LUNG","CVCL_1392","LU-65","LU-65M;C-Lu65","UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Giant Cell Lung Carcinoma"
"SIDM00529","ACH-000621","925338","MDAMB157_BREAST","CVCL_0618","MDA-MB-157","MDA-157","BRCA","Breast","Breast Carcinoma","Breast Carcinoma"
"SIDM00528","ACH-000934","908121","MDAMB361_BREAST","CVCL_0620","MDA-MB-361","MDA-361","BRCA","Breast","Breast Carcinoma","Breast Adenocarcinoma"
"SIDM00527","ACH-000935","1240173","MDST8_LARGE_INTESTINE","CVCL_2588","MDST8",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Carcinoma"
"SIDM00526","ACH-000072","908126","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0425","MEG-01",NA,"LCML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM00525","ACH-000359","908131","MG63_BONE","CVCL_0426","MG-63",NA,"UNCLASSIFIED","Bone","Osteosarcoma","Osteosarcoma"
"SIDM00505","ACH-000601","724870","MIAPACA2_PANCREAS","CVCL_0428","MIA-PaCa-2",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM00561","ACH-002274","908142","MLMA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1419","MLMA",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Other Blood Cancers","Hairy Cell Leukemia"
"SIDM00532","ACH-001125","908144","MOGGCCM_CENTRAL_NERVOUS_SYSTEM","CVCL_2613","MOG-G-CCM","GO-G-CCM","LGG","Central Nervous System","Glioma","Anaplastic Astrocytoma"
"SIDM00562","ACH-002163","908151","MRKNU1_BREAST","CVCL_1428","MRK-nu-1",NA,"BRCA","Breast","Breast Carcinoma","Breast Carcinoma"
"SIDM00545","ACH-000987","908128","MEWO_SKIN","CVCL_0445","Mewo","Mevo;SK-MEL-MeWo;BI-Mel;EST50","SKCM","Skin","Melanoma","Melanoma"
"SIDM00701","ACH-002370",NA,"NCIBL2122_MATCHED_NORMAL_TISSUE","CVCL_2651","NCI-BL2122",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00476","ACH-001373","1480361","OV17R_OVARY","CVCL_2672","OV-17R",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Adenocarcinoma"
"SIDM01185","ACH-002204","1503373","UCH2_BONE","CVCL_4989","U-CH2",NA,"CHDM","Bone","Other Solid Cancers","Sacral Chordoma"
"SIDM01014",NA,NA,NA,"CVCL_2087","JURL-MK2",NA,NA,"Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM00800","ACH-000014",NA,"HS294T_SKIN","CVCL_0331","Hs-294-T",NA,"MEL","Skin","Melanoma","Melanoma"
"SIDM00802",NA,NA,NA,"CVCL_7928","WM-164",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM00805","ACH-001094",NA,"HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2522","HTK-",NA,"OS","Bone","Osteosarcoma","Osteosarcoma"
"SIDM00811","ACH-000034",NA,"PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2162","PLB-985",NA,"AML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00822",NA,"910565",NA,"CVCL_1988","COLO-206F",NA,NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00824",NA,NA,NA,"CVCL_9977","COLO-200",NA,NA,"Large Intestine","Non-Cancerous","Non-Cancerous"
"SIDM00825",NA,NA,NA,"CVCL_9976","COLO-197",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00827","ACH-001121","1330944","MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1871","MEC-2",NA,"CLLSLL","Haematopoietic and Lymphoid","Other Blood Cancers","Chronic Lymphocytic Leukemia"
"SIDM00830",NA,NA,NA,"CVCL_8437","PEAZ-1",NA,NA,"Soft Tissue","Other Solid Cancers","Fibrosarcoma"
"SIDM00838",NA,NA,NA,"CVCL_8375","NCOL-1",NA,NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00843",NA,NA,NA,"CVCL_8431","TDL-4",NA,NA,"Haematopoietic and Lymphoid","Burkitt's Lymphoma","Epstein-Barr Virus-Related Burkitt s Lymphoma"
"SIDM00851","ACH-000509","1327758","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0337","HuT-78","NCI-H78","SS","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Mycosis Fungoides and Sezary Syndrome"
"SIDM00862","ACH-000877","906845","EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2027","EB-1","Epstein-Barr-1","BL","Haematopoietic and Lymphoid","Burkitt's Lymphoma","Epstein-Barr Virus-Related Burkitt s Lymphoma"
"SIDM00880",NA,NA,NA,"CVCL_1253","HCC1428-BL",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00894","ACH-000312","1331058","SKNBE2_AUTONOMIC_GANGLIA","CVCL_0528","SK-N-BE-2",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
