"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM00534","ACH-000986","907289","HT115_LARGE_INTESTINE","CVCL_2520","HT-115",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Carcinoma"
"SIDM00334","ACH-000879","908130","MFE296_ENDOMETRIUM","CVCL_1406","MFE-296",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00433","ACH-000795","908146","MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1422","MOLT-13",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00431","ACH-000918","908147","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1424","MOLT-16",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00429","ACH-000938","908158","NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0092","NALM-6","NALM-6-M1","UNCLASSIFIED","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Adult B Acute Lymphoblastic Leukemia"
"SIDM00493","ACH-001075","753604","NCIH292_LUNG","CVCL_0455","NCI-H292","NCI-HUT-292","UNCLASSIFIED","Lung","Other Solid Cancers","Lung Mucoepidermoid Carcinoma"
"SIDM00459","ACH-001617","1659819","OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1881","OCI-LY7","OCI-Ly07","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00373","ACH-000974","909735","SNGM_ENDOMETRIUM","CVCL_1707","SNG-M",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01647","ACH-002357",NA,"LB771PBL_MATCHED_NORMAL_TISSUE",NA,"LB771-PBL",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00819","ACH-002189","1524414","RCCFG2_KIDNEY","CVCL_5873","RCC-FG2","KTCTL-26A","KIRC","Kidney","Kidney Carcinoma","Clear Cell Renal Cell Carcinoma"
